;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;Delta;Theta;Alpha;Beta
S19;Visual_field_EEG_OI;30.87522932;30.6347027;43.89528475;133.4520893;15.87042352;13.50727854;30.38762772;75.72120755;26.36082272;23.23284227;35.18410127;91.85737916;24.61689234;21.46180983;30.55685663;92.93421129;31.99879635;30.51209894;43.28527936;137.9358063;35.23995752;32.68331898;40.86904066;123.8963112;33.4029987;30.71045796;37.38390316;118.5751403;31.80407849;30.19175975;38.36565952;127.4867515;33.1313172;29.76600042;39.60240111;117.0227551;26.98789523;20.08660254;22.12739073;57.86830996;29.02884114;26.27868719;36.16575449;107.6749962
S20;Visual_field_EEG_OI;31.53399225;27.54810754;39.45043578;114.2507048;17.79540034;12.19721681;28.48619162;62.50164337;30.17026757;24.60868471;32.64583806;88.27755062;32.92575906;28.73104417;38.5434318;105.361455;30.71099511;29.09018323;44.72554687;146.7045413;37.75516674;36.48190134;43.3164886;144.1264503;37.86128541;36.28927681;45.67521824;155.8223977;33.99504294;32.37568174;44.72127639;146.5935809;31.15626929;28.93049655;41.79142777;141.1182436;36.95253078;33.35000557;35.98580739;119.8597731;32.08567095;28.96025985;39.53416625;122.4616341
S21;Visual_field_EEG_OI;22.1236599;27.26685376;37.75160924;76.04178118;3.451484271;7.970801964;21.44403958;32.42930552;16.24587406;20.60575563;26.45105052;62.44766062;15.08296021;23.65157307;33.30285064;65.19425288;23.77517625;27.03897888;41.51286739;147.5277306;32.51340193;34.93641539;41.04840782;156.105053;30.67672525;34.46894719;41.96814948;150.0909959;28.86315136;31.919392;43.18598585;152.2992182;28.39218621;27.87472412;38.21082615;145.0179656;27.4894992;29.94273485;29.60440827;134.6169883;22.86141186;26.56761769;35.44801949;112.1770952
S22;Visual_field_EEG_OI;30.18933414;30.86481789;43.10447235;147.7257719;8.114082611;14.3859775;33.62701627;102.7398242;24.63221049;26.86710448;39.26369114;138.5895993;25.06380803;27.91253449;39.49183711;142.4542693;23.13729081;29.78850911;45.22837693;146.5520167;35.22025794;35.56912409;45.76638283;159.8289664;35.79790185;35.22559278;44.74563104;155.7673636;27.71220412;32.38945266;45.59509708;149.7822581;27.66876456;30.93859627;44.47782731;142.0520589;32.78997872;31.90639715;39.63920935;143.6249043;27.03258333;29.58481064;42.09395414;142.9117033
S24;Visual_field_EEG_OI;28.95712648;30.88335809;46.30534778;132.4567896;12.85426107;17.20339459;39.91232156;89.65087348;22.82295379;24.49570349;36.38475697;100.2420208;23.19453274;26.5172541;42.04284705;112.5503729;29.61277908;32.01367437;46.95597816;143.7796901;34.62969648;34.25756893;42.08834829;130.3508114;34.01354469;34.0956059;44.32921677;131.4468134;32.39228001;33.30565171;43.50884328;136.440246;32.43184282;31.79893426;43.43892042;129.7549103;29.20992404;26.4523929;30.82763272;81.09105546;28.01189412;29.10235383;41.5794213;118.7763583
S26;Visual_field_EEG_OI;15.6875721;21.30455471;39.86160122;124.9786695;9.851710754;14.35197216;31.8962912;85.48254323;17.84969386;21.3191698;37.05876546;117.1735349;11.33518193;18.49955204;32.27464701;95.09494622;31.07661977;34.42114799;45.58566935;143.6079828;30.94311026;34.9500051;43.62732634;134.9102424;22.58088503;32.56327587;41.49173747;133.2854751;31.32867086;33.98293899;43.24674351;128.8417833;29.49325243;34.57777023;42.79680379;137.2667527;21.37562452;28.49441773;32.21766355;88.0527158;22.15223215;27.44648046;39.00572489;118.8694646
S27;Visual_field_EEG_OI;15.70845038;19.39658286;32.44712671;111.1910775;11.20634824;13.51979544;27.43474115;71.59431955;19.94204697;21.21126525;34.00940596;104.8636461;13.65918521;16.37212028;27.68129972;85.40071622;29.50034156;36.23816898;47.04802457;140.9450111;26.01597856;35.69600885;41.31061879;137.3041133;25.93955304;34.91570605;42.42026405;129.4922613;30.38097113;34.51101482;42.33721084;137.3681857;33.00955139;37.00754822;43.73892788;140.6322239;22.23945326;31.44989429;31.161518;99.93386627;22.76018797;28.0318105;36.95891377;115.8725421
S28;Visual_field_EEG_OI;10.59737762;17.63476854;29.36162407;71.03608259;6.448815431;10.38543759;22.0835356;42.66321305;16.78423231;23.7530914;31.93789826;76.70895999;9.852328055;12.20728935;20.20608244;48.28074157;24.22119941;27.85489803;43.17982065;138.6442914;22.33314657;29.6727376;38.00868541;127.3645137;21.57482727;24.91211208;37.04915346;119.6481106;28.07825956;29.37575724;37.45372369;128.4152054;30.84360556;34.85896862;41.55323106;137.5369068;18.58238826;23.89018097;23.39699589;82.79607626;18.931618;23.45452414;32.42307505;97.30941014
S29;Visual_field_EEG_OI;4.426412904;12.32318752;36.75500416;124.7705471;2.256136728;4.878601724;26.76541568;82.49844587;7.278480972;13.92213034;33.24958321;116.1375195;4.97113002;10.97566564;29.66167586;111.602478;35.67613576;33.50002568;45.12830594;147.934585;35.09480035;34.56333464;41.79929103;145.23219;36.12770006;34.59983439;42.31053207;146.5561786;32.53961307;31.54335679;40.75400824;140.6506695;34.50125081;33.25766301;42.88918964;142.5082105;32.94342768;29.83526061;29.90969407;115.3878423;22.58150884;23.93990603;36.92226999;127.3278666
S30;Visual_field_EEG_OI;20.82774294;22.48426873;39.21307539;109.6442653;10.00723293;12.86851461;29.8814784;71.97433696;22.8203041;22.89795699;36.24938673;102.7364087;20.99821887;20.97301617;31.65605156;85.37808414;32.63126607;34.08155568;45.49642954;151.8503834;33.99934106;33.41457179;41.60507153;141.9544542;33.18802755;33.17581811;41.79238629;138.1078527;32.11609603;32.95107979;42.18797184;138.6424519;32.43226695;33.10958754;43.40903075;143.5206698;30.92623388;27.68588016;31.65841879;101.6628778;26.99467304;27.36422496;38.31493008;118.5471785
S31;Visual_field_EEG_OI;14.82584282;14.89782332;33.67301796;106.5725357;8.806230937;8.392434629;24.1171266;62.29806132;16.79545228;16.97104323;34.24888103;101.084007;14.38637339;12.49938227;25.95717931;71.35752617;30.75845764;34.32607559;44.59734724;144.2539256;30.64488178;34.63395869;43.65196321;140.921394;25.1991734;30.79372937;39.9678203;129.3931923;31.38070105;34.0714808;41.45336513;132.1822283;31.14564796;34.29129867;43.31760288;140.3343778;22.2283738;28.4855491;31.70592438;90.51568505;22.61711351;24.93627757;36.2690228;111.8912933
S32;Visual_field_EEG_OI;17.06980262;18.47086031;39.70757343;119.0506845;8.658661681;9.596880605;32.17967826;77.33991335;19.75610409;20.42144211;38.02849482;115.8451524;18.27169263;17.74666284;35.30305573;101.2649931;34.2205716;35.51880185;47.25148547;151.9720544;34.56568496;36.25635415;45.66344587;154.8965007;34.46546544;35.81653394;44.76708941;148.2435697;33.21504421;33.41586717;44.80238088;145.1581982;33.57123525;34.91279509;45.5369977;149.9385357;32.17437374;32.70445108;38.20511821;127.3444199;26.59686362;27.48606491;41.14453198;129.1054022
S33;Visual_field_EEG_OI;4.510555739;15.97746737;32.13310524;108.8236351;1.838096654;6.851809845;20.1032002;61.57954734;6.097095234;18.13949906;30.38519826;100.5742462;3.567256328;11.32385483;24.48795919;84.42325651;36.40985992;34.45115011;44.61026119;151.5210317;37.82325529;35.00244034;39.7286088;148.327307;36.49572686;31.02205711;40.76526555;145.0769944;34.20427269;31.20179965;37.7979212;139.5088415;36.47591101;33.5776133;40.41149644;141.3716443;33.79616044;24.82007566;24.72401119;106.4107816;23.12181902;24.23677673;33.51470273;118.7617286
S34;Visual_field_EEG_OI;11.28696174;16.3364635;34.65779309;117.7508647;4.374511984;7.711547538;28.08892285;76.76694524;12.89025372;18.30389341;35.48331087;106.024425;12.04716571;15.54142748;29.27142214;83.78421863;35.61221312;35.87791417;47.02019062;150.2981616;33.53912968;33.59365766;41.21131994;134.0071065;32.64591252;31.18964762;35.72610914;120.887255;30.65014784;29.92059096;39.12297164;127.9442706;29.7190613;29.90357902;38.3999556;127.7407282;23.83513821;21.8444159;24.00208765;71.34159188;22.66004958;24.02231373;35.29840835;111.6545567
S36;Visual_field_EEG_OI;15.82772096;22.12140921;40.68787123;148.6517428;8.206290397;14.06799807;31.9719986;104.2725005;18.26571365;21.40261665;36.45107373;134.7508944;16.07066341;20.07087378;34.38408866;125.7657484;35.84197793;36.69868235;46.62238134;145.183214;36.28133857;36.4367319;45.20540861;148.4354638;34.79965844;35.24102186;42.99840183;145.2756676;33.92081052;35.28519157;44.86469484;141.2006665;34.60351584;35.15240276;43.54929432;145.2161789;32.3736878;30.79779202;34.74362582;117.8119854;26.61913775;28.72747202;40.1478839;135.6564062
S37;Visual_field_EEG_OI;25.56924886;25.41280239;38.99407897;126.1247496;15.60160454;14.07459525;27.54910218;84.71271561;27.48527252;24.57803409;33.96020299;110.5943598;22.45056433;19.84735153;24.13290466;83.39327527;35.32168778;35.25864677;45.28916471;150.3946304;34.92460726;34.05496549;41.02045124;133.9732693;35.52082124;32.95104093;34.4153147;121.6395713;31.08628001;30.02110007;36.71510103;120.7146505;35.16609576;32.0869116;38.36718723;129.2310375;28.75485991;22.30164966;18.36905949;62.36421229;29.18810422;27.05870978;33.88125672;112.3142472
