;Test;DeltaOz;ThetaOz;AlphaOz;BetaOz;DeltaO1O2;ThetaO1O2;AlphaO1O2;BetaO1O2;DeltaPO;ThetaPO;AlphaPO;BetaPO;DeltaPOL;ThetaPOL;AlphaPOL;BetaPOL;DeltaPOR;ThetaPOR;AlphaPOR;BetaPOR
S5;color_right;0.319850169;0.238389823;0.269930026;0.169811682;0.230542318;0.159285302;0.334998877;0.270584135;0.165208529;0.141190009;0.366318918;0.321176842;0.154589919;0.139866754;0.421590155;0.279469365;0.221790719;0.156321364;0.31362549;0.304373596
S6;color_right;0.107159586;0.171256866;0.196935422;0.501507456;0.050947684;0.113654016;0.178119698;0.625623691;0.074747203;0.139034857;0.264877959;0.497899133;0.076400686;0.145011824;0.234633982;0.511578158;0.080899987;0.147504761;0.325005187;0.428556142
S7;color_right;0.455889765;0.286874464;0.110239287;0.143712089;0.292996129;0.253555624;0.162846864;0.284406376;0.190661134;0.265533595;0.189695896;0.346804588;0.257980276;0.262397536;0.172744815;0.299761659;0.306135707;0.274259962;0.160611518;0.253830449
S10;color_right;0.342125054;0.302346516;0.172259123;0.180035239;0.190188804;0.20209033;0.21333075;0.388040741;0.165243774;0.174205761;0.199457713;0.454047161;0.174027542;0.214535795;0.224556353;0.381265997;0.215310045;0.197905995;0.213131166;0.367215453
S11;color_right;0.332952631;0.362272387;0.114356619;0.186617207;0.245707676;0.274278304;0.153825982;0.318725569;0.213615014;0.256475663;0.171121331;0.349955803;0.262564865;0.291148529;0.148213538;0.291028107;0.227170915;0.258262133;0.16548859;0.340818755
S13;color_right;0.258846645;0.266469235;0.146032778;0.322878337;0.214364454;0.233989949;0.178628784;0.367654494;0.21850145;0.237237317;0.167913998;0.370494481;0.189821957;0.226556817;0.179362549;0.397443202;0.203244703;0.235037707;0.172737618;0.384093042
S14;color_right;0.119743675;0.149505274;0.347177014;0.371368777;0.057530444;0.095542387;0.394863049;0.437650469;0.05634873;0.092939352;0.394758164;0.44123683;0.061353418;0.091523601;0.387303802;0.442983499;0.074212842;0.113491614;0.357596195;0.440641212
S15;color_right;0.43331613;0.208303697;0.212639941;0.142327929;0.19823678;0.148347998;0.378722689;0.266589723;0.105797371;0.139212563;0.455626054;0.291509005;0.166694248;0.147033831;0.425392272;0.254431715;0.117535025;0.130432528;0.463570395;0.281554081
S16;color_right;0.352080714;0.279579937;0.129986099;0.226311985;0.259410208;0.234678403;0.148115523;0.342108617;0.174256419;0.165894988;0.143492453;0.493743742;0.21800166;0.196537127;0.149825314;0.410335779;0.201768231;0.184990494;0.144800655;0.444548609
S18;color_right;0.171891666;0.257549629;0.233534486;0.330410546;0.090182106;0.189636123;0.263919007;0.44366343;0.079586376;0.182713502;0.274401115;0.451538328;0.0860562;0.182398266;0.280662021;0.440507334;0.097016505;0.185093409;0.267202616;0.43955023
S19;color_right;0.204261318;0.297338452;0.289697434;0.205294735;0.156398229;0.276560601;0.332818017;0.229284706;0.184925559;0.279112676;0.316384162;0.214359756;0.15270078;0.280111271;0.321507091;0.240393684;0.156804105;0.263368358;0.364081192;0.211952516
S22;color_right;0.331108884;0.287718839;0.099699437;0.265857354;0.21432094;0.2283261;0.170755026;0.371724439;0.202754779;0.175028721;0.186729988;0.420246131;0.208057997;0.21985662;0.173984517;0.382760541;0.203277247;0.213469962;0.172675502;0.395042907
S23;color_right;0.402922603;0.265228645;0.168620847;0.159782011;0.246598761;0.23905732;0.192058222;0.313530142;0.165649799;0.237261049;0.214724468;0.371664305;0.254702448;0.245812345;0.214081086;0.27897007;0.228793474;0.236790685;0.206172053;0.319580895
S24;color_right;0.224223667;0.215350642;0.274048068;0.277943053;0.110489649;0.140188112;0.314276019;0.422651399;0.121240397;0.154286645;0.350490901;0.363512509;0.132925455;0.165651477;0.319610607;0.372528857;0.106040662;0.137343555;0.430898652;0.315677712
S25;color_right;0.216760641;0.21456209;0.1406647;0.414116387;0.196709149;0.203989674;0.143575125;0.443920332;0.299225151;0.231018458;0.114167567;0.349652215;0.207479574;0.20067286;0.147799842;0.435969063;0.154436093;0.183148428;0.140837745;0.51049252
S26;color_right;0.15902598;0.239980462;0.184111602;0.408182839;0.142461854;0.244965;0.196715101;0.407744682;0.201921756;0.26681842;0.197461569;0.327458061;0.155955673;0.254976105;0.208582995;0.372868226;0.124600537;0.195189742;0.193354783;0.475987777
S27;color_right;0.195562352;0.236609524;0.157517211;0.395174821;0.265246281;0.273445104;0.175945534;0.273634706;0.267159998;0.308276217;0.200627584;0.214504986;0.218190254;0.246343663;0.210501358;0.311463901;0.221162548;0.275735258;0.206979692;0.283527284
S28;color_right;0.30370004;0.296694954;0.16957312;0.223727417;0.269555438;0.260091034;0.187900581;0.273948589;0.264389985;0.253845298;0.207516172;0.267872369;0.309470672;0.257055573;0.186447409;0.241732403;0.200209128;0.223611819;0.243022072;0.32459416
S29;color_right;0.201940547;0.201279355;0.234137346;0.350359656;0.258552171;0.206242868;0.321604221;0.208231437;0.340735018;0.234351343;0.283801389;0.138414879;0.241668044;0.199794912;0.320499352;0.231928106;0.198790052;0.163637256;0.413469029;0.218908639
S30;color_right;0.105185946;0.137419625;0.227832942;0.518100423;0.14507686;0.120405035;0.27695108;0.450622758;0.162472359;0.120012567;0.294128374;0.416605295;0.100027145;0.105687842;0.304357762;0.482090383;0.117225475;0.114909718;0.308127769;0.453170646
S31;color_right;0.179015854;0.197338706;0.212380243;0.400985556;0.116923272;0.172995655;0.187012972;0.504912955;0.13122071;0.189045765;0.157682751;0.502917685;0.126491555;0.177894742;0.186491095;0.490391296;0.115832532;0.176405343;0.17127569;0.519584989
S32;color_right;0.145643719;0.215290812;0.268883869;0.358857547;0.138254044;0.228341699;0.289019699;0.333984689;0.169650941;0.259014907;0.267433601;0.29475916;0.132410385;0.215653764;0.259832235;0.379857879;0.135786673;0.229439602;0.308999505;0.315378206
S33;color_right;0.255952233;0.194187498;0.159481425;0.381319353;0.232648576;0.220826792;0.173040765;0.364921388;0.291662604;0.235928922;0.154548916;0.311545594;0.212000658;0.201635076;0.168391103;0.410954561;0.21669397;0.217035193;0.184252829;0.373752661
S34;color_right;0.111916754;0.143482577;0.54286267;0.198199774;0.079038127;0.11730443;0.633788597;0.167363306;0.113466991;0.135690278;0.612261303;0.1368729;0.077277563;0.116628482;0.639383404;0.164088698;0.053403113;0.104676396;0.684307849;0.155717106
S35;color_right;0.324732193;0.281735062;0.136515121;0.25047131;0.348194386;0.29554873;0.149129636;0.203533041;0.478332857;0.27077187;0.110370034;0.138559425;0.305292728;0.303010173;0.160440373;0.227089327;0.302129674;0.288659365;0.160333787;0.245165031
S36;color_right;0.182914464;0.198648512;0.265830297;0.343649137;0.252919961;0.245180066;0.305813721;0.191938276;0.295889032;0.289224676;0.295602106;0.117285272;0.221819518;0.243832561;0.350453463;0.18028081;0.230795323;0.242346069;0.338655946;0.1838558
S37;color_right;0.238833869;0.262361875;0.193882882;0.300608729;0.228201311;0.245083133;0.257228556;0.266918264;0.250947756;0.239371082;0.270545678;0.237130435;0.201324666;0.235033126;0.289604351;0.270764076;0.188874294;0.21443242;0.287875493;0.306515226
